create_date,forecast_date,data_source_marker,network_id,master_network_id,timeslot,impression_type,forecast_impressions
2018-02-28,2018-01-04,R,33,,7,H,383237
2018-02-28,2018-01-04,R,33,,8,H,368168
2018-02-28,2018-01-04,R,33,,9,H,331211
2018-02-28,2018-01-04,R,33,,10,H,300660
2018-02-28,2018-01-04,R,33,,11,H,279560
2018-02-28,2018-01-04,R,33,,12,H,253319
2018-02-28,2018-01-04,R,33,,13,H,233697
2018-02-28,2018-01-04,R,33,,14,H,210235
2018-02-28,2018-01-04,R,33,,15,H,197107
2018-02-28,2018-01-04,R,33,,16,H,163630
2018-02-28,2018-01-04,R,33,,17,H,154993
2018-02-28,2018-01-04,R,33,,18,H,144829
2018-02-28,2018-01-04,R,33,,19,H,131302
2018-02-28,2018-01-04,R,33,,20,H,113236
2018-02-28,2018-01-04,R,33,,21,H,104025
2018-02-28,2018-01-04,R,33,,22,H,98831
2018-02-28,2018-01-04,R,33,,23,H,103226
2018-02-28,2018-01-04,R,33,,24,H,93469
2018-02-28,2018-01-04,R,33,,25,H,87741
2018-02-28,2018-01-04,R,33,,26,H,94556
2018-02-28,2018-01-04,R,33,,27,H,90231
2018-02-28,2018-01-04,R,33,,28,H,102734
2018-02-28,2018-01-04,R,33,,29,H,102815
2018-02-28,2018-01-04,R,33,,30,H,102965
2018-02-28,2018-01-04,R,33,,31,H,122769
2018-02-28,2018-01-04,R,33,,32,H,133011
2018-02-28,2018-01-04,R,33,,33,H,133904
2018-02-28,2018-01-04,R,33,,34,H,136826
2018-02-28,2018-01-04,R,33,,35,H,148923
2018-02-28,2018-01-04,R,33,,36,H,158976
2018-02-28,2018-01-04,R,33,,37,H,166702
2018-02-28,2018-01-04,R,33,,38,H,187136
2018-02-28,2018-01-04,R,33,,39,H,188660
2018-02-28,2018-01-04,R,33,,40,H,185020
2018-02-28,2018-01-04,R,33,,41,H,202787
2018-02-28,2018-01-04,R,33,,42,H,203857
2018-02-28,2018-01-04,R,33,,43,H,207782
2018-02-28,2018-01-04,R,33,,44,H,206673
2018-02-28,2018-01-04,R,33,,45,H,219345
2018-02-28,2018-01-04,R,33,,46,H,217487
2018-02-28,2018-01-04,R,33,,47,H,218097
2018-02-28,2018-01-04,R,33,,48,H,227742
2018-02-28,2018-01-04,R,33,,49,H,222013
2018-02-28,2018-01-04,R,33,,50,H,221786
2018-02-28,2018-01-04,R,33,,51,H,206173
2018-02-28,2018-01-04,R,33,,52,H,219060
2018-02-28,2018-01-04,R,33,,53,H,203862
2018-02-28,2018-01-04,R,33,,54,H,202418
2018-02-28,2018-01-04,R,33,,55,H,202392
2018-02-28,2018-01-04,R,33,,56,H,211217
2018-02-28,2018-01-04,R,33,,57,H,213181
2018-02-28,2018-01-04,R,33,,58,H,219967
2018-02-28,2018-01-04,R,33,,59,H,225302
2018-02-28,2018-01-04,R,33,,60,H,226992
2018-02-28,2018-01-04,R,33,,61,H,226566
2018-02-28,2018-01-04,R,33,,62,H,237266
2018-02-28,2018-01-04,R,33,,63,H,247501
2018-02-28,2018-01-04,R,33,,64,H,261588
2018-02-28,2018-01-04,R,33,,65,H,256439
2018-02-28,2018-01-04,R,33,,66,H,265457
2018-02-28,2018-01-04,R,33,,67,H,274100
2018-02-28,2018-01-04,R,33,,68,H,279321
2018-02-28,2018-01-04,R,33,,69,H,297342
2018-02-28,2018-01-04,R,33,,70,H,295948
